Election_id,State_id,Constituency,Candidate_name,Party,EVM_Votes,Postal _Votes,Total _Votes,Percentage_Votes,Result
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58,Won
2,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54,Lost
3,Andaman & Nicobar Islands,Andaman & Nicobar Islands,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,4.08,Lost
4,Andaman & Nicobar Islands,Andaman & Nicobar Islands,D AYYAPPAN,Communist Party of India  (Marxist),6009,8,6017,2.97,Lost
5,Andaman & Nicobar Islands,Andaman & Nicobar Islands,V.K. ABDUL AZIZ,Independent,2195,8,2203,1.09,Lost
6,Andaman & Nicobar Islands,Andaman & Nicobar Islands,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45,Lost
7,Andaman & Nicobar Islands,Andaman & Nicobar Islands,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36,Lost
8,Andaman & Nicobar Islands,Andaman & Nicobar Islands,RINKU MALA MONDAL,Independent,539,3,542,0.27,Lost
9,Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,Independent,506,1,507,0.25,Lost
10,Andaman & Nicobar Islands,Andaman & Nicobar Islands,USHA KUMARI,Independent,378,2,380,0.19,Lost
11,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17,Lost
12,Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANAND RAMNATH ARLEKAR,Independent,342,1000,342,0.17,Lost
13,Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,None of the Above,1802,7,1809,0.89,Lost
14,Andhra Pradesh,Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Won
15,Andhra Pradesh,Amalapuram (SC),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95,Lost
