"crop","sum","fertilizer","candidate_name","party","evm_votes"
"Small millets","1961","192511.37","GEDALA LAXMANA RAO","Independent",1525
"Arecanut","262","25720.54","DAGGUMALLA PRASADA RAO","Telugu Desam",765536
"Gram","100","9817","GOTTUMUKKALA SHIVAJI","Independent",1378
"Small millets","1961","192511.37","DOKKA JAGAN MOHANA RAO","Bahujan Samaj Party",6774
"Arecanut","262","25720.54","KOMMUSANI PEDDA KAMBAGIRI SWAMY","Independent",4633
"Sweet potato","1938","190253.46","KRISHNA SWAROOP VADLAMURI","Dalita Bahujana Party",3549
"Arecanut","262","25720.54","TANGELLA UDAY SRINIVAS  (TEA TIME UDAY)","Janasena Party",718971
"Gram","91","9293.83","CHINTADA SURYAM","Naba Bharata Nirmana Seva Party",443
"Small millets","1961","192511.37","PILLI BABU RAO","Independent",688
"Small millets","1961","192511.37","KINJARAPU RAMMOHAN NAIDU","Telugu Desam",734501
"Sweet potato","1938","190253.46","GUJJULA LALITHA","Socialist Unity Centre Of India (COMMUNIST)",323
"Arecanut","268","27370.84","KUNUKUNTLA RAMUDU","Independent",1408
"Small millets","1961","192511.37","VEGI VENKATESH","Indian National Congress",24833
"Small millets","1961","192511.37","CHAPPIDI RAMU","Independent",756
"Small millets","1961","192511.37","PERAM SIVA NAGESWARA RAO","Republican Party of India (Athawale)",365
"Arecanut","268","27370.84","NOTA","None of the Above",24302
"Gram","100","9817","GANDIKOTA RAJESH","Navataram Party",392
"Gram","100","9817","NOTA","None of the Above",50205
"Small millets","1961","192511.37","C. PUNYAMURTHY","United Republican Party of India",1511
"Small millets","1961","192511.37","MALLIKARJUNA VAJJALA","Indian National Congress",41954
"Arecanut","268","27370.84","HARI VENKATA SATISH  KURNALA","Jai Bharat National Party",540
"Sweet potato","1938","190253.46","KATRU NAGA BABU","Telugu Nava Garjana Party",3736
"Sweet potato","1938","190253.46","BANASI NARAYANAPPA","Bahujan Samaj Party",6280
"Arecanut","262","25720.54","KAPA KALYAN","Republican Party of India (A)",579
"Small millets","1961","192511.37","J SHANTHA","Yuvajana Sramika Rythu Congress Party",587406
"Arecanut","262","25720.54","GODUGUPATI VEERA RAGHAVULU","Pyramid Party of India",710
"Arecanut","262","25720.54","AJAY BABU BODA","Navarang Congress Party",12197
"Gram","91","9293.83","C. PUNYAMURTHY","United Republican Party of India",1511
"Gram","91","9293.83","SRIBHARAT MATHUKUMILI","Telugu Desam",893884
"Sweet potato","1938","190253.46","MARISERLA KRISHNAMURTHY NAIDU","Independent",1617
"Gram","91","9293.83","KOLLI NAGA RAJU","Independent",322
"Arecanut","268","27370.84","BAAL SHOURI CHODABATHINA","Jatiya Jana Sena Party",10518
"Arecanut","268","27370.84","S RAGHUNATHA REDDY","Independent",693
"Arecanut","268","27370.84","VISHNU REDDY LANKIREDDY","Bengaluru Nava Nirmana Party",461
"Arecanut","268","27370.84","PASUPULETI S.V.S.BHUSHANAM","Independent",1222
"Gram","91","9293.83","BUCHI EDUKONDALU","Independent",3046
"Sweet potato","1938","190253.46","BOBBILI SRINU","Indian National Congress",10270
"Arecanut","268","27370.84","BHAGYA R S","Bahujan Samaj Party",7949
"Gram","91","9293.83","G.A.N. ANAND","Independent",543
"Arecanut","262","25720.54","NOTA","None of the Above",12008
"Gram","91","9293.83","P V A ANANDA SAGAR","Independent",787
"Gram","100","9817","VELURI VENKATA TRINADHARAO","Independent",4146
"Sweet potato","1938","190253.46","MEDA SRINIVASA RAO","Rashtriya Praja Congress  (Secular)",2422
"Sweet potato","1938","190253.46","JHANSI LAKSHMI. BOTCHA.","Yuvajana Sramika Rythu Congress Party",397821
"Sweet potato","1938","190253.46","GAGGERA VENKATA RAMANAIAH","Independent",3027
"Gram","91","9293.83","PEDAPENKI SIVA PRASADA RAO","Bahujan Samaj Party",6006
"Arecanut","268","27370.84","RUKHMINI","Independent",683
"Gram","100","9817","DR. REDDYPOGU PRAVEEN KUMAR","Independent",1847
"Small millets","1961","192511.37","CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party",495188
"Gram","100","9817","CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",532358
"Sweet potato","1938","190253.46","P V MIDHUN REDDY","Yuvajana Sramika Rythu Congress Party",639111
"Arecanut","268","27370.84","PUNGANURU PRASANNA GANAPATHI","Radical Party of India (Ambedkarist)",452
"Gram","100","9817","YADLA RAJESH","Liberation Congress Party",628
"Sweet potato","1938","190253.46","KILARI VENKATA ROSAIAH","Yuvajana Sramika Rythu Congress Party",513563
"Small millets","1961","192511.37","B K PARTHASARATHI","Telugu Desam",713013
"Gram","100","9817","K.A. PAUL","Praja Shanthi Party",7529
"Gram","91","9293.83","KANNEBOYINA VAMSI KRISHNA YADAV","Independent",368
"Arecanut","262","25720.54","PANDU RANGA YADAV SIDDAPU","Samajwadi Party",594
"Small millets","1961","192511.37","POOLA REDDY SEKHAR","Independent",6097
"Arecanut","262","25720.54","SURYA TEJA KOTA","Pyramid Party of India",674
"Arecanut","262","25720.54","BHAVANI SANKAR PRASAD MERLA","Independent",1963
"Arecanut","268","27370.84","D.MAHESH","Independent",1109
"Arecanut","268","27370.84","KILARI VENKATA ROSAIAH","Yuvajana Sramika Rythu Congress Party",513563
"Gram","100","9817","K. JEEVARATHNAM","Independent",1203
"Gram","91","9293.83","MARADANI K R SWAMY","Jai Maha Bharath Party",2206
"Arecanut","268","27370.84","DASAGANIPALLI KULLAYAPPA","Independent",1317
"Arecanut","262","25720.54","ASHOK ANAND GALI","Independent",335
"Arecanut","262","25720.54","ADDEPALLI VEERA VENKAT SUBBA RAO","Independent",2781
"Gram","100","9817","DASAGANIPALLI KULLAYAPPA","Independent",1317
"Sweet potato","1938","190253.46","PEDAPENKI SIVA PRASADA RAO","Bahujan Samaj Party",6006
"Small millets","1961","192511.37","NOTA","None of the Above",17826
"Gram","91","9293.83","DR CHEVIREDDY BHASKAR REDD","Yuvajana Sramika Rythu Congress Party",644052
"Arecanut","262","25720.54","VELURU. THEJOVATHI","Samajwadi Party",1362
"Small millets","1961","192511.37","MANCHALA LAKSHMI NARAYANA","Bahujan Samaj Party",8533
"Gram","100","9817","JALADI VIJAYA KUMARI","Samajwadi Party",463
"Arecanut","268","27370.84","ORSU VEENA","Jai Bharat National Party",2242
"Gram","100","9817","MATHA KRISHNA","Pyramid Party of India",718
"Arecanut","268","27370.84","DAMODARA RAO GUDAVALLI","Independent",928
"Gram","91","9293.83","VENKATA ASHOK PAPPURI","Independent",6672
"Gram","91","9293.83","NOTA","None of the Above",17105
"Gram","91","9293.83","GANESWARA RAO PARAMATA","Bahujan Samaj Party",20277
"Arecanut","262","25720.54","APPARAO ENNETI","Independent",625
"Gram","91","9293.83","U.C.VENKATASUBBAIAH","Jaathia Chethi Vruthula Ikya Vedika Party",2533
"Arecanut","268","27370.84","K.B.R.NAIDU","Indian National Congress",34298
"Small millets","1961","192511.37","CHINNAM ARUNA KUMAR","Jaibhim Rao Bharat Party",1401
"Gram","100","9817","NALAMALA TIRUPATI RAO","Navataram Party",2888
"Gram","100","9817","DEVIREDDY BALANJANEYULU","Independent",710
"Arecanut","262","25720.54","NOTA","None of the Above",15454
"Gram","91","9293.83","GUMMA THANUJA RANI","Yuvajana Sramika Rythu Congress Party",471470
"Arecanut","268","27370.84","ADARI SARAT CHANDRA","Jai Bharat National Party",1886
"Small millets","1961","192511.37","KOTHAPALLI GEETHA","Bharatiya Janata Party",417113
"Gram","100","9817","PATHAN KHAJA (BASHA)","Telugu Rajadhikara Samiti Party",328
"Gram","100","9817","SINGAMNENI SREEKANTH","Independent",407
"Arecanut","268","27370.84","PASAM VENKATESWARLU YADAV","Samajwadi Party",699
"Gram","91","9293.83","VANKAYALA RAMACHANDRA RAO","Independent",4001
"Sweet potato","1938","190253.46","ABDUL RAJAK SHAIK","Independent",718
"Arecanut","268","27370.84","DR. REDDYPOGU PRAVEEN KUMAR","Independent",1847
"Arecanut","262","25720.54","CHAN BASHA. S","Anna YSR Congress Party",432
"Sweet potato","1938","190253.46","PRADEEP PENAMADU","All India Forward Bloc",5671
"Gram","91","9293.83","ANIL KUMAR POLUBOINA","Yuvajana Sramika Rythu Congress Party",642186
"Arecanut","262","25720.54","YARRA DASARADHARAMAIAH","Independent",394
"Gram","91","9293.83","DASAGANIPALLI KULLAYAPPA","Independent",1317
"Sweet potato","1938","190253.46","MALIKIREDDY. HANUMANTHA REDDY","Jana Sahayaka Sakthi",358
"Sweet potato","1938","190253.46","MALLIKARJUNA VAJJALA","Indian National Congress",41954
"Gram","91","9293.83","NIMMAKA JAYARAJU","Independent",8798
"Gram","100","9817","GAJULA SOMA SEKHAR","Jai Bharat National Party",1775
"Sweet potato","1938","190253.46","BRAHMANANDA REDDY K","Independent",1261
"Arecanut","262","25720.54","G M HARISH (BALAYOGI)","Telugu Desam",786149
"Small millets","1961","192511.37","G M HARISH (BALAYOGI)","Telugu Desam",786149
"Small millets","1961","192511.37","MADA RAJA","Jaathia Chethi Vruthula Ikya Vedika Party",1415
"Arecanut","262","25720.54","THOGURU VIJAYA KUMAR","Bahujan Samaj Party",13389
"Sweet potato","1938","190253.46","DASARI. GOWTHAM","Independent",1077
"Gram","100","9817","JANGALA AJAY KUMAR","Communist Party of India",8317
"Gram","91","9293.83","DEVARASETTY RAVEENDRA BABU","Andhra Rastra Praja Samithi",328
"Arecanut","262","25720.54","ANIL KUMAR POLUBOINA","Yuvajana Sramika Rythu Congress Party",642186
"Gram","91","9293.83","KETHA SREENU","Independent",3140
"Gram","100","9817","BANASI NARAYANAPPA","Bahujan Samaj Party",6280
"Gram","91","9293.83","SRINIVASA RAJU.O","Bhartiya Panchyat Party",489
"Arecanut","262","25720.54","SHAIK SHAFI AHMED","All India Forward Bloc",1037
"Arecanut","268","27370.84","DEVARAPALLI MALLIKARJUNA RAO (MAHESH)","Independent",3199
"Gram","100","9817","G.V.RAMANA REDDY","Independent",6436
"Small millets","1961","192511.37","JUNNURI J SRINIVAS","Independent",1195
"Gram","100","9817","E ANIL KUMAR","Independent",1332
"Arecanut","268","27370.84","VALMIKI ARJUNA","Bharatha Chaitanya Yuvajana Party",1385
"Gram","100","9817","BODDETI APPARAO","Independent",1687
"Sweet potato","1938","190253.46","CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",532358
"Arecanut","268","27370.84","AMRUTH KUMAR SALKAPURAM","Liberation Congress Party",777
"Gram","91","9293.83","SREERANGARAJULA GOPINATH ROYAL","Independent",903
"Gram","100","9817","SHAIK MUZIBUR RAHAMAN","Pyramid Party of India",1315
"Arecanut","262","25720.54","SUNKARA SREEDHAR","Jai Bharat National Party",1149
"Sweet potato","1938","190253.46","C. DAVID","Indian Believers Party (IBP)",1237
"Small millets","1961","192511.37","TANGELLA SRINIVASU","Jatiya Jana Sena Party",6516
"Sweet potato","1938","190253.46","SIRRA RAJU","Bahujan Samaj Party",5945
"Small millets","1961","192511.37","SAMUDRALA CHINNA KOTAIAH","Jaibhim Rao Bharat Party",1748
"Arecanut","262","25720.54","NOTA","None of the Above",9038
"Gram","100","9817","U P MUNI REDDY","Independent",376
"Gram","91","9293.83","ADINARAYANA DUPPANAPUDI","Independent",1002
"Sweet potato","1938","190253.46","BALASHOWRY VALLABHANENI","Janasena Party",712149
"Arecanut","262","25720.54","ATHIDHI","Independent",8121
"Sweet potato","1938","190253.46","NOTA","None of the Above",26084
"Gram","91","9293.83","HAFIZ ATAULLAH KHAN","Social Democratic Party Of India",6858
"Gram","100","9817","RAJESWARA RAO KONDRU","Bharatheeya Jawan Kisan Party",729
"Small millets","1961","192511.37","PODILI RAMBABU","Independent",3035
"Arecanut","262","25720.54","SIMHADRI CHANDRA SEKHAR RAO","Yuvajana Sramika Rythu Congress Party",495211
"Gram","100","9817","M UMADEVI","Janata Congress",5387
"Small millets","1961","192511.37","DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU)","Liberation Congress Party",777
"Sweet potato","1938","190253.46","DORABABU YALLA","Bahujan Samaj Party",5202
"Sweet potato","1938","190253.46","ATCHIYYA NAIDU SAMIREDDY","Samajwadi Party",1059
"Gram","91","9293.83","NALLI RAJESH","Independent",4684
"Gram","91","9293.83","NOTA","None of the Above",13066
"Gram","100","9817","NOTA","None of the Above",22371
"Small millets","1961","192511.37","JALADI VIJAYA KUMARI","Samajwadi Party",463
"Gram","91","9293.83","UDAY","Navarang Congress Party",15578
"Arecanut","262","25720.54","BOMMASANI MUTYALA RAO","All Peoples Party",200
"Arecanut","268","27370.84","NOTA","None of the Above",10394
"Small millets","1961","192511.37","P VENKATESH","Jaathia Chethi Vruthula Ikya Vedika Party",385
"Gram","91","9293.83","AMBICA G LAKSHMINARAYANA VALMIKI","Telugu Desam",755862
"Small millets","1961","192511.37","MANDALA GIRIDHARA RAO","Independent",4931
"Arecanut","268","27370.84","KOPPALA RAGHU","Independent",2010
"Gram","100","9817","MOTUKUR JAGAPATHI","Indian National Congress",29431
"Sweet potato","1938","190253.46","ARUNA SRI MURALA","Independent",1991
"Gram","100","9817","CHAGANTIPATI GANGADHAR GANDHI","Pyramid Party of India",486
"Arecanut","262","25720.54","TALARI VENKATAIAH","Jaibhim Rao Bharat Party",553
"Arecanut","268","27370.84","NOTA","None of the Above",7554
"Gram","91","9293.83","V.MURALI PRASAD REDDY","Independent",5775
"Arecanut","268","27370.84","BANNA. RAMESH","Dalita Bahujana Party",941
"Sweet potato","1938","190253.46","NOTA","None of the Above",13418
"Small millets","1961","192511.37","D.MAHESH","Independent",1109
"Arecanut","268","27370.84","NITTA AKHILA DHARANI PAL","Bahujan Samaj Party",6664
"Arecanut","262","25720.54","DR. THUMMAPALA HARI  SHANKAR","Independent",1567
"Gram","91","9293.83","NANDIGAM SURESH BABU","Yuvajana Sramika Rythu Congress Party",503816
"Gram","91","9293.83","SIKHAKOLLI HEMA GOWRI SHANKAR","Jatiya Jana Sena Party",1959
"Arecanut","268","27370.84","ORSU PREMARAJU","Bahujan Samaj Party",5276
"Small millets","1961","192511.37","NOTA","None of the Above",9014
"Arecanut","262","25720.54","YUGANDAR . KONDA","Independent",6889
"Gram","100","9817","NOTA","None of the Above",7554
"Arecanut","262","25720.54","VADLA KESAVAIAH","Independent",1488
"Arecanut","262","25720.54","MALLEPALLY RAGHU","Navarang Congress Party",1104
"Sweet potato","1938","190253.46","BARRE SREENIVASARAO (JAI BHEEM SRINIVAS)","Telugu Rajadhikara Samiti Party",609
"Gram","100","9817","SHAIK MAHABOOB BASHA (MABU)","Republican Party of India (A)",1228
"Arecanut","268","27370.84","ADINARAYANA TADDI","Independent",855
"Small millets","1961","192511.37","C SURENDRA NATHA REDDY","Independent",1267
"Sweet potato","1938","190253.46","VISHNU REDDY LANKIREDDY","Bengaluru Nava Nirmana Party",461
"Gram","91","9293.83","BHASKAR NASINA","Bahujan Samaj Party",5710
"Sweet potato","1938","190253.46","BOYA SURESH","Independent",5891
"Gram","91","9293.83","SHAIK.NIZAM","Samajwadi Party",749
"Gram","100","9817","BATTULA BALARAMAKRISHNA","Navarang Congress Party",16930
"Sweet potato","1938","190253.46","V MADHUSUDHANA REDDY","Independent",399
"Sweet potato","1938","190253.46","SYAMDHAN KURAPATI","Aihra National Party",1567
"Gram","100","9817","RAMESH JILLELLA","Jatiya Jana Sena Party",866
"Small millets","1961","192511.37","B.RAGHAVENDRA PRASAD","Independent",1317
"Sweet potato","1938","190253.46","Y. MAHESH","Independent",615
"Small millets","1961","192511.37","BURAGA RATNAM","Loktantrik Janta Dal",304
"Gram","100","9817","DUMAVATH SWAMY NAIK","Independent",2348
"Small millets","1961","192511.37","RUDRAPAKA RATNA RAO (R.R.R)","Andhra Rastra Praja Samithi",1523
"Gram","91","9293.83","GUJJULA LALITHA","Socialist Unity Centre Of India (COMMUNIST)",323
"Gram","91","9293.83","KRISHNA KISHORE YANAMANDRA","Navataram Party",7710
"Arecanut","268","27370.84","DOKKA JAGAN MOHANA RAO","Bahujan Samaj Party",6774
"Sweet potato","1938","190253.46","YUGANDAR . KONDA","Independent",6889
"Gram","100","9817","L. KHAJA HUSSAIN","Independent",1087
"Gram","100","9817","B.NAGAMUTHYALU","Socialist Unity Centre Of India (COMMUNIST)",566
"Gram","91","9293.83","GUDE VENKATESWARULU","Independent",1741
"Small millets","1961","192511.37","ANAND CHANDULAL JASTI","Independent",2726
"Gram","100","9817","NAIDUGARI RAJASEKHAR","Bahujan Samaj Party",4661
"Arecanut","268","27370.84","ALLAM.RAJA","Independent",4948
"Small millets","1961","192511.37","AJAY BABU BODA","Navarang Congress Party",12197
"Small millets","1961","192511.37","MATHA KRISHNA","Pyramid Party of India",718
"Gram","100","9817","Y.S. SHARMILA REDDY","Indian National Congress",136395
"Arecanut","262","25720.54","GIDDI JNANA PRAKASA RAO","Republican Party of India",717
"Arecanut","262","25720.54","SESHUBABU GUDDANTI","Independent",449
"Small millets","1961","192511.37","BATTULA BALARAMAKRISHNA","Navarang Congress Party",16930
"Arecanut","268","27370.84","NAIDUGARI RAJASEKHAR","Bahujan Samaj Party",4661
"Arecanut","268","27370.84","MANDALA GIRIDHARA RAO","Independent",4931
"Sweet potato","1938","190253.46","SANAPALA SRAVAN KUMAR","Independent",5950
"Arecanut","262","25720.54","PANDITI. GURAPPA.","Bahujan Samaj Party",3790
"Arecanut","268","27370.84","KAKARLA SHANMUKHA REDDY","Independent",633
"Arecanut","268","27370.84","YARRA DASARADHARAMAIAH","Independent",394
"Gram","91","9293.83","VIJAY KUMAR G.SRKR","Liberation Congress Party",4108
"Sweet potato","1938","190253.46","KAVURI LAVANYA","Indian National Congress",19820
"Gram","100","9817","UMABALA GUDURI","Yuvajana Sramika Rythu Congress Party",426037
"Small millets","1961","192511.37","PETA.MOHAN .","Independent",2365
"Gram","91","9293.83","AJAY BABU BODA","Navarang Congress Party",12197
"Sweet potato","1938","190253.46","NOTA","None of the Above",22371
"Sweet potato","1938","190253.46","KONDRU KIRAN KUMAR","Independent",791
"Gram","100","9817","BUCHI EDUKONDALU","Independent",3046
"Gram","91","9293.83","THOGURU VIJAYA KUMAR","Bahujan Samaj Party",13389
"Arecanut","262","25720.54","AVASHYA LAHARI . VARAM","Bahujan Samaj Party",24858
"Sweet potato","1938","190253.46","SYED KHAMURUNNISA","Navarang Congress Party",600
"Gram","91","9293.83","SANAPALA SRAVAN KUMAR","Independent",5950
"Small millets","1961","192511.37","NOTA","None of the Above",26084
"Gram","91","9293.83","SIVA PARVATHI","Independent",262
"Gram","91","9293.83","ABBAVARAM UGENDRA","Bahujan Samaj Party",12306
"Arecanut","268","27370.84","GARNEPUDI ALEXANDER SUDHAKAR","Indian National Congress",17520
"Arecanut","262","25720.54","MANCHALA LAKSHMI NARAYANA","Bahujan Samaj Party",8533
"Arecanut","262","25720.54","APPALANAIDU KALISETTI","Telugu Desam",729284
"Small millets","1961","192511.37","CHINTA MOHAN","Indian National Congress",63790
"Arecanut","268","27370.84","BOMMANABOINA VSR MURTHY","Independent",2173
"Small millets","1961","192511.37","KUNCHAM. VENKATA SUBBA REDDY","Rayalaseema Rashtra Samithi",2329
"Arecanut","262","25720.54","GOUTHAM JANGA","Indian National Congress",14523
"Arecanut","268","27370.84","A. MADHU","Jai Hindustan Party",711
"Sweet potato","1938","190253.46","SHAIK MUZIBUR RAHAMAN","Pyramid Party of India",1315
"Sweet potato","1938","190253.46","DR. GUDURI SRINIVAS","Yuvajana Sramika Rythu Congress Party",483172
"Gram","91","9293.83","I V PAKKIR REDDY","Independent",408
"Sweet potato","1938","190253.46","P.G.RAMPULLAIAH YADAV LUCKY10002","Indian National Congress",68972
"Small millets","1961","192511.37","URUKUNDU VADDE","Independent",1284
"Arecanut","268","27370.84","GADDE. VIJAYA LAKSHMI","Independent",1046
"Sweet potato","1938","190253.46","ABDUL SATTAR  A.S.R","Anna YSR Congress Party",1565
"Arecanut","262","25720.54","B K PARTHASARATHI","Telugu Desam",713013
"Gram","100","9817","KATTA HEMANAND","Independent",547
"Gram","91","9293.83","NALLARI KIRAN KUMAR REDDY","Bharatiya Janata Party",557030
"Small millets","1961","192511.37","BHANU CHANDAR KURUVELLA","Independent",1955
"Gram","100","9817","MAGUNTA SREENIVASULU REDDY","Telugu Desam",689829
"Sweet potato","1938","190253.46","RUKHMINI","Independent",683
"Arecanut","268","27370.84","SRINIVASA RAO SAMBHANA","Yuga Thulasi Party",1758
"Sweet potato","1938","190253.46","MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA","Andhra Pradesh Rashtra Samithi",353
"Arecanut","262","25720.54","DOCTOR GODA RAMESH KUMAR","Jatiya Jana Sena Party",305
"Arecanut","262","25720.54","BORUBADRA CHANDRAKALA","Bharatha Chaitanya Yuvajana Party",1315
"Gram","100","9817","GARNEPUDI ALEXANDER SUDHAKAR","Indian National Congress",17520
"Sweet potato","1938","190253.46","U.C.VENKATASUBBAIAH","Jaathia Chethi Vruthula Ikya Vedika Party",2533
"Arecanut","268","27370.84","PALAKA SREERAMA MURTHY","Bahujan Samaj Party",19082
"Small millets","1961","192511.37","Y. MAHESH","Independent",615
"Gram","91","9293.83","Y. MAHESH","Independent",615
"Gram","100","9817","RAPAKA VARAPRASADA RAO","Yuvajana Sramika Rythu Congress Party",450362
"Gram","91","9293.83","BUDI MUTYALA NAIDU","Yuvajana Sramika Rythu Congress Party",459762
"Small millets","1961","192511.37","NOTA","None of the Above",12008
"Sweet potato","1938","190253.46","PAGADALA KODANDA","Independent",3070
"Arecanut","262","25720.54","CHANTI BADNAINA","Jai Bharat National Party",7205
"Small millets","1961","192511.37","NOTA","None of the Above",17105
"Sweet potato","1938","190253.46","GANDIKOTA RAJESH","Navataram Party",392
"Gram","100","9817","VADLA KESAVAIAH","Independent",1488
"Arecanut","262","25720.54","KOPPULA RAJU","Indian National Congress",53264
"Sweet potato","1938","190253.46","KUNCHAM. VENKATA SUBBA REDDY","Rayalaseema Rashtra Samithi",2329
"Gram","91","9293.83","CHANDINI REDDY VAKATI","Liberation Congress Party",546
"Arecanut","262","25720.54","GARNEPUDI ALEXANDER SUDHAKAR","Indian National Congress",17520
"Gram","100","9817","SIMHADRI CHANDRA SEKHAR RAO","Yuvajana Sramika Rythu Congress Party",495211
"Arecanut","268","27370.84","BELLANA CHANDRASEKHAR","Yuvajana Sramika Rythu Congress Party",487691
"Small millets","1961","192511.37","YALANGI RAMESH","Jaibhim Rao Bharat Party",738
"Gram","91","9293.83","VIJAYA BHASKAR .REDDYPOGU","Independent",3504
"Small millets","1961","192511.37","SANAPALA SRAVAN KUMAR","Independent",5950
"Small millets","1961","192511.37","KATTA HEMANAND","Independent",547
"Arecanut","268","27370.84","KAVURI LAVANYA","Indian National Congress",19820
"Arecanut","262","25720.54","NOTA","None of the Above",11812
"Gram","100","9817","CHALLAPALLI RATAN RAJU","Viduthalai Chiruthaigal Katchi",374
"Sweet potato","1938","190253.46","PALLE RAMESH","Jaibhim Rao Bharat Party",619
"Arecanut","268","27370.84","SANGARAJU NAGESWARA RAJU","Independent",1523
"Small millets","1961","192511.37","MAKEY DAVY PRASAD","Independent",2104
"Small millets","1961","192511.37","EDA SUDHAKARA REDDY","Indian National Congress",25803
"Sweet potato","1938","190253.46","ADINARAYANA DUPPANAPUDI","Independent",1002
"Sweet potato","1938","190253.46","DR. GANAPATHI KONGARAPU.","Republican Party of India (A)",944
"Gram","100","9817","CHELLURI DANIYAL","Independent",796
"Gram","100","9817","Y. MAHESH","Independent",615
"Sweet potato","1938","190253.46","N.BHUPATHI","Independent",862
"Arecanut","268","27370.84","GOGULA SUGUNAMMA","Jai Maha Bharath Party",375
"Arecanut","262","25720.54","MOHANARAO SINGULURI","Jai Bharat National Party",2818
"Arecanut","262","25720.54","A. PURNA CHANDRA","Independent",856
"Gram","91","9293.83","GURUMOORTHY MADDILA","Yuvajana Sramika Rythu Congress Party",626702
"Arecanut","262","25720.54","MADA RAJA","Jaathia Chethi Vruthula Ikya Vedika Party",1415
"Sweet potato","1938","190253.46","NOTA","None of the Above",5171
"Sweet potato","1938","190253.46","KOPPULA RAJU","Indian National Congress",53264
"Small millets","1961","192511.37","YAMPATI VEERANJANEYA REDDY","Independent",1056
"Gram","91","9293.83","ANDUKURI VIJAYA BHASKAR","India Praja Bandhu Party",1098
"Gram","91","9293.83","K.MUNI KRISHNA","Independent",3954
"Gram","91","9293.83","MADASI SUDHARSHAN","Independent",1575
