Date,State_Id,TotalSamples,Negative,Positive
17-04-2020,Andaman and Nicobar Islands,1403,1210,12
24-04-2020,Andaman and Nicobar Islands,2679,0,27
27-04-2020,Andaman and Nicobar Islands,2848,0,33
01-05-2020,Andaman and Nicobar Islands,3754,0,33
16-05-2020,Andaman and Nicobar Islands,6677,0,33
19-05-2020,Andaman and Nicobar Islands,6965,0,33
20-05-2020,Andaman and Nicobar Islands,7082,0,33
21-05-2020,Andaman and Nicobar Islands,7167,0,33
22-05-2020,Andaman and Nicobar Islands,7263,0,33
23-05-2020,Andaman and Nicobar Islands,7327,0,33
24-05-2020,Andaman and Nicobar Islands,7327,0,33
25-05-2020,Andaman and Nicobar Islands,7363,0,33
26-05-2020,Andaman and Nicobar Islands,7448,0,33
27-05-2020,Andaman and Nicobar Islands,7499,0,33
28-05-2020,Andaman and Nicobar Islands,7519,0,33
29-05-2020,Andaman and Nicobar Islands,7567,0,33
30-05-2020,Andaman and Nicobar Islands,7567,0,33
31-05-2020,Andaman and Nicobar Islands,7706,0,33
01-06-2020,Andaman and Nicobar Islands,7805,0,33
02-06-2020,Andaman and Nicobar Islands,8086,0,33
03-06-2020,Andaman and Nicobar Islands,8295,0,33
04-06-2020,Andaman and Nicobar Islands,8413,0,33
05-06-2020,Andaman and Nicobar Islands,8694,0,33
06-06-2020,Andaman and Nicobar Islands,9037,0,33
07-06-2020,Andaman and Nicobar Islands,9242,0,33
08-06-2020,Andaman and Nicobar Islands,9341,0,33
09-06-2020,Andaman and Nicobar Islands,9859,0,33
10-06-2020,Andaman and Nicobar Islands,10010,0,35
11-06-2020,Andaman and Nicobar Islands,10226,0,38
12-06-2020,Andaman and Nicobar Islands,10697,0,38
13-06-2020,Andaman and Nicobar Islands,10955,0,38
14-06-2020,Andaman and Nicobar Islands,11356,0,38
15-06-2020,Andaman and Nicobar Islands,11518,0,41
16-06-2020,Andaman and Nicobar Islands,11809,0,44
17-06-2020,Andaman and Nicobar Islands,12239,0,44
18-06-2020,Andaman and Nicobar Islands,12622,0,45
19-06-2020,Andaman and Nicobar Islands,12930,0,47
20-06-2020,Andaman and Nicobar Islands,13320,0,47
21-06-2020,Andaman and Nicobar Islands,13434,0,48
22-06-2020,Andaman and Nicobar Islands,13511,0,48
23-06-2020,Andaman and Nicobar Islands,13723,0,50
24-06-2020,Andaman and Nicobar Islands,13994,0,56
25-06-2020,Andaman and Nicobar Islands,14277,0,59
26-06-2020,Andaman and Nicobar Islands,14583,0,72
27-06-2020,Andaman and Nicobar Islands,14851,0,73
28-06-2020,Andaman and Nicobar Islands,15094,0,83
29-06-2020,Andaman and Nicobar Islands,15410,0,90
30-06-2020,Andaman and Nicobar Islands,15709,0,97
01-07-2020,Andaman and Nicobar Islands,15982,0,100
02-07-2020,Andaman and Nicobar Islands,16278,0,109
03-07-2020,Andaman and Nicobar Islands,16626,0,116
04-07-2020,Andaman and Nicobar Islands,16832,0,119
05-07-2020,Andaman and Nicobar Islands,16909,0,125
06-07-2020,Andaman and Nicobar Islands,17095,0,141
07-07-2020,Andaman and Nicobar Islands,17381,0,147
08-07-2020,Andaman and Nicobar Islands,17643,0,149
09-07-2020,Andaman and Nicobar Islands,17852,0,151
10-07-2020,Andaman and Nicobar Islands,18046,0,156
11-07-2020,Andaman and Nicobar Islands,18315,0,163
12-07-2020,Andaman and Nicobar Islands,18447,0,163
13-07-2020,Andaman and Nicobar Islands,18609,0,166
14-07-2020,Andaman and Nicobar Islands,18884,0,171
15-07-2020,Andaman and Nicobar Islands,19061,0,176
16-07-2020,Andaman and Nicobar Islands,19227,0,180
17-07-2020,Andaman and Nicobar Islands,19421,0,194
18-07-2020,Andaman and Nicobar Islands,19671,0,198
19-07-2020,Andaman and Nicobar Islands,19904,0,203
20-07-2020,Andaman and Nicobar Islands,20301,0,207
21-07-2020,Andaman and Nicobar Islands,20642,0,212
22-07-2020,Andaman and Nicobar Islands,21043,0,221
23-07-2020,Andaman and Nicobar Islands,21310,0,240
24-07-2020,Andaman and Nicobar Islands,21743,0,259
25-07-2020,Andaman and Nicobar Islands,21965,0,290
26-07-2020,Andaman and Nicobar Islands,22049,0,324
27-07-2020,Andaman and Nicobar Islands,22548,0,338
28-07-2020,Andaman and Nicobar Islands,22925,0,363
29-07-2020,Andaman and Nicobar Islands,23217,0,428
30-07-2020,Andaman and Nicobar Islands,23615,0,471
31-07-2020,Andaman and Nicobar Islands,24038,0,548
01-08-2020,Andaman and Nicobar Islands,24308,0,636
02-08-2020,Andaman and Nicobar Islands,24580,0,734
03-08-2020,Andaman and Nicobar Islands,25034,0,830
04-08-2020,Andaman and Nicobar Islands,25492,0,928
05-08-2020,Andaman and Nicobar Islands,25826,0,1027
06-08-2020,Andaman and Nicobar Islands,26516,0,1123
07-08-2020,Andaman and Nicobar Islands,26915,0,1222
08-08-2020,Andaman and Nicobar Islands,27073,0,1351
09-08-2020,Andaman and Nicobar Islands,27103,0,1490
10-08-2020,Andaman and Nicobar Islands,27346,0,1625
11-08-2020,Andaman and Nicobar Islands,27455,0,1764
12-08-2020,Andaman and Nicobar Islands,27744,0,1900
13-08-2020,Andaman and Nicobar Islands,27973,0,2037
14-08-2020,Andaman and Nicobar Islands,28129,0,2186
15-08-2020,Andaman and Nicobar Islands,28209,0,2306
16-08-2020,Andaman and Nicobar Islands,28229,0,2399
17-08-2020,Andaman and Nicobar Islands,28672,0,2445
18-08-2020,Andaman and Nicobar Islands,28937,0,2529
19-08-2020,Andaman and Nicobar Islands,29303,0,2604
20-08-2020,Andaman and Nicobar Islands,29487,0,2680
21-08-2020,Andaman and Nicobar Islands,29573,0,2747
22-08-2020,Andaman and Nicobar Islands,29888,0,2808
23-08-2020,Andaman and Nicobar Islands,30278,0,2860
24-08-2020,Andaman and Nicobar Islands,30513,0,2904
25-08-2020,Andaman and Nicobar Islands,31082,0,2945
26-08-2020,Andaman and Nicobar Islands,31646,0,2985
27-08-2020,Andaman and Nicobar Islands,31830,0,3018
28-08-2020,Andaman and Nicobar Islands,32100,0,3050
29-08-2020,Andaman and Nicobar Islands,32407,0,3081
30-08-2020,Andaman and Nicobar Islands,32674,0,3104
31-08-2020,Andaman and Nicobar Islands,33485,0,3132
01-09-2020,Andaman and Nicobar Islands,35104,0,3160
02-09-2020,Andaman and Nicobar Islands,36136,0,0
03-09-2020,Andaman and Nicobar Islands,37075,0,3223
04-09-2020,Andaman and Nicobar Islands,37825,0,3257
05-09-2020,Andaman and Nicobar Islands,38574,0,3292
06-09-2020,Andaman and Nicobar Islands,39205,0,3332
07-09-2020,Andaman and Nicobar Islands,39995,0,3359
08-09-2020,Andaman and Nicobar Islands,41039,0,3392
09-09-2020,Andaman and Nicobar Islands,41776,0,3426
10-09-2020,Andaman and Nicobar Islands,42792,0,3465
11-09-2020,Andaman and Nicobar Islands,43680,0,3494
12-09-2020,Andaman and Nicobar Islands,44570,0,3521
13-09-2020,Andaman and Nicobar Islands,45279,0,3546
14-09-2020,Andaman and Nicobar Islands,45987,0,3557
15-09-2020,Andaman and Nicobar Islands,46823,0,3574
16-09-2020,Andaman and Nicobar Islands,47794,0,3593
17-09-2020,Andaman and Nicobar Islands,48861,0,3604
18-09-2020,Andaman and Nicobar Islands,50035,0,3631
19-09-2020,Andaman and Nicobar Islands,50681,0,3644
20-09-2020,Andaman and Nicobar Islands,51262,0,3651
21-09-2020,Andaman and Nicobar Islands,52220,0,3673
22-09-2020,Andaman and Nicobar Islands,52845,0,3691
23-09-2020,Andaman and Nicobar Islands,53591,0,3712
24-09-2020,Andaman and Nicobar Islands,52992,0,3744
25-09-2020,Andaman and Nicobar Islands,55169,0,3759
26-09-2020,Andaman and Nicobar Islands,56059,0,3774
27-09-2020,Andaman and Nicobar Islands,56661,0,3794
28-09-2020,Andaman and Nicobar Islands,57343,0,3803
29-09-2020,Andaman and Nicobar Islands,58135,0,3821
30-09-2020,Andaman and Nicobar Islands,58763,0,3835
01-10-2020,Andaman and Nicobar Islands,59676,0,3848
02-10-2020,Andaman and Nicobar Islands,60437,0,3858
03-10-2020,Andaman and Nicobar Islands,61231,0,3868
04-10-2020,Andaman and Nicobar Islands,62103,0,3884
